Id,Sales
1,5057.459
2,5932.7163
3,8081.369
4,12445.65
5,5326.4062
6,5666.518
7,14912.819
8,7743.2744
9,8161.557
10,6825.195
11,10233.46
12,9132.309
13,8192.496
14,6828.6523
15,8352.8955
16,10045.448
17,8481.95
18,9529.536
19,8194.075
20,10259.377
21,7746.5913
22,6486.6743
23,6816.1455
24,13160.022
25,12957.166
26,7762.1675
27,12303.318
28,6484.398
29,9046.561
30,4672.3022
31,7035.282
32,6053.7197
33,9914.512
34,10366.699
35,11086.133
36,11882.3955
37,8717.913
38,7021.352
39,7825.159
40,5237.819
41,7125.5396
42,12844.927
43,7893.7046
44,6197.723
45,5964.8433
46,6811.7715
47,9189.416
48,4006.3982
49,9847.168
50,5455.208
51,8688.594
52,8186.2397
53,6743.802
54,10223.88
55,6113.5635
56,9454.62
57,11702.2
58,7936.661
59,6501.162
60,9359.578
61,6109.4014
62,7669.4116
63,9926.434
64,13555.013
65,7136.293
66,7869.8364
67,9599.422
68,10399.965
69,12071.144
70,7589.128
71,11036.664
72,5183.119
73,5334.7095
74,7643.1445
75,8396.572
76,12504.726
77,9884.364
78,5097.9307
79,6817.205
80,9134.329
81,8859.71
82,11866.189
83,4045.0725
84,15188.82
85,7696.202
86,5935.173
87,6259.4434
88,8279.297
89,7272.4146
90,11492.478
91,5602.7925
92,8463.348
93,7592.3203
94,7971.4985
95,9066.955
96,6433.462
97,8479.038
98,6423.829
99,5933.418
100,9129.565
101,9727.756
102,11062.283
103,5191.4614
104,10674.628
105,5513.2837
106,10696.091
107,8733.134
108,13791.581
109,8538.0205
110,6417.6436
111,8464.453
112,7252.956
113,7551.509
114,6002.077
115,9802.218
116,8163.083
117,4379.9893
118,9787.457
119,6947.367
120,9400.956
121,5435.336
122,12487.325
123,10564.955
124,7068.8735
125,17001.984
126,8339.41
127,7096.9707
128,9471.986
129,11525.166
130,5453.226
131,5316.1436
132,8802.636
133,8496.622
134,5038.896
135,7432.014
136,8533.803
137,10989.009
138,9626.497
139,7653.204
140,9297.404
141,8182.3057
142,5486.0576
143,8453.73
144,9139.724
145,10649.43
146,9584.812
147,10365.8
148,9440.248
149,7599.0435
150,10724.611
151,9892.494
152,6582.427
153,7368.384
154,10017.682
155,8426.9795
156,8810.674
157,11148.904
158,10531.354
159,9510.169
160,7152.9067
161,9208.42
162,9989.564
163,7348.921
164,8250.414
165,5052.1455
166,6864.5693
167,13843.648
168,10619.326
169,7260.916
170,5951.0396
171,8698.644
172,7950.3745
173,10204.581
174,7017.8975
175,6933.796
176,6555.6475
177,4842.5537
178,12553.839
179,9899.347
180,8572.741
181,8181.595
182,6862.03
183,6419.382
184,7613.089
185,8414.001
186,4910.7607
187,8305.452
188,8986.688
189,10335.335
190,9800.881
191,8080.5215
192,15817.958
193,6245.965
194,6563.8564
195,12874.915
196,6361.956
197,9373.273
198,4423.425
199,10299.191
200,9830.239
201,6946.254
202,7858.2026
203,8083.127
204,7269.3213
205,7970.8296
206,10391.4375
207,13725.314
208,3936.402
209,8911.254
210,4534.4243
211,16421.797
212,5437.4053
213,9898.553
214,11339.74
215,9852.569
216,9506.033
217,6160.3745
218,6045.745
219,3589.585
220,5623.577
221,7421.417
222,6122.8184
223,9540.722
224,8820.083
225,6973.8906
226,7966.102
227,7036.8394
228,9804.976
229,11886.964
230,10031.546
231,7960.785
232,5753.233
233,11584.489
234,12358.605
235,7081.716
236,9694.717
237,4799.497
238,10504.949
239,6092.171
240,5369.3267
241,8006.153
242,5238.2085
243,10479.541
244,6825.1104
245,10667.646
246,9656.521
247,11365.467
248,11118.927
249,6673.8423
250,12147.565
251,22489.973
252,13540.167
253,8264.307
254,4104.112
255,7798.9014
256,10555.709
257,7025.613
258,7312.534
259,15499.939
260,6628.7485
261,14112.859
262,25713.98
263,5120.685
264,8013.0513
265,6838.8535
266,4519.7075
267,11142.027
268,6764.868
269,11215.358
270,11792.415
271,10389.782
272,8333.662
273,8707.019
274,6798.8027
275,8262.029
276,4863.9785
277,9065.615
278,9312.927
279,11501.469
